,level_0,index,Rooms,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Price,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small
1,1,1,2,2016,2.5,2.0,1.0,1.0,202.0,,1942.5454545454545,-37.7996,144.9984,1480000.0,1,0,0,0,1,0,0,0,0,1,0
2,2,2,2,2016,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,1035000.0,1,0,0,0,1,0,0,0,0,1,0
4,4,4,3,2017,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,1465000.0,1,0,0,0,0,0,1,0,0,1,0
5,5,5,3,2017,2.5,3.0,2.0,1.0,94.0,,1942.5454545454545,-37.7969,144.9969,850000.0,1,0,0,1,0,0,0,0,0,1,0
6,6,6,4,2016,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,1600000.0,1,0,0,0,0,0,0,1,1,0,0
10,10,10,2,2016,2.5,2.0,1.0,0.0,181.0,,1942.5454545454545,-37.8041,144.9953,941000.0,1,0,0,0,1,0,0,0,1,0,0
11,11,11,3,2016,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,1876000.0,1,0,0,0,1,0,0,0,1,0,0
14,14,14,2,2016,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,1636000.0,1,0,0,0,1,0,0,0,1,0,0
17,17,17,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8008,144.9973,300000.0,0,0,1,0,1,0,0,0,0,1,0
18,18,18,2,2016,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,1097000.0,1,0,0,0,1,0,0,0,0,1,0
23,23,23,2,2016,2.5,2.0,2.0,1.0,1942.5454545454545,,1942.5454545454545,-37.811,145.0067,700000.0,0,0,1,0,0,0,0,1,1,0,0
24,24,24,3,2016,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,1350000.0,1,0,0,0,0,0,0,1,1,0,0
25,25,25,2,2016,2.5,2.0,2.0,1.0,1942.5454545454545,94.0,2009.0,-37.8078,144.9965,750000.0,0,0,1,0,1,0,0,0,0,1,0
28,28,28,2,2016,2.5,2.0,1.0,1.0,195.0,,1942.5454545454545,-37.8084,144.9973,1172500.0,1,0,0,0,1,0,0,0,0,1,0
29,29,29,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8016,144.9988,441000.0,0,0,1,0,0,0,1,0,0,1,0
30,30,30,2,2016,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,1310000.0,1,0,0,0,1,0,0,0,1,0,0
32,32,32,3,2016,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,1200000.0,1,0,0,0,1,0,0,0,1,0,0
35,35,35,3,2016,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,1176500.0,1,0,0,0,1,0,0,0,0,0,1
36,36,36,3,2016,2.5,3.0,1.0,0.0,183.0,,1942.5454545454545,-37.8022,144.9975,955000.0,1,0,0,0,1,0,0,0,0,1,0
37,37,37,2,2016,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,890000.0,1,0,0,0,1,0,0,0,0,1,0
38,38,38,4,2017,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,1330000.0,1,0,0,1,0,0,0,0,0,1,0
40,40,40,3,2017,2.5,3.0,2.0,2.0,1942.5454545454545,,2010.0,-37.8093,144.9959,900000.0,0,1,0,0,1,0,0,0,0,0,1
41,41,41,3,2017,2.5,3.0,2.0,2.0,4290.0,27.0,1942.5454545454545,-37.8078,144.9965,1090000.0,0,0,1,0,1,0,0,0,1,0,0
42,42,42,2,2016,2.5,2.0,1.0,1.0,1942.5454545454545,60.0,1970.0,-37.8015,144.9972,500000.0,0,0,1,0,1,0,0,0,0,1,0
43,43,43,2,2016,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,1100000.0,1,0,0,1,0,0,0,0,0,1,0
44,44,44,2,2016,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,1315000.0,1,0,0,0,1,0,0,0,0,1,0
48,48,48,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8016,144.9988,426000.0,0,0,1,0,0,0,1,0,0,1,0
49,49,49,3,2016,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,1447500.0,1,0,0,1,0,0,0,0,1,0,0
50,50,50,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,50.0,1942.5454545454545,-37.8078,144.9965,457000.0,0,0,1,0,1,0,0,0,1,0,0
51,51,51,2,2016,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,1135000.0,1,0,0,0,1,0,0,0,1,0,0
53,53,53,4,2016,2.5,4.0,3.0,1.0,1942.5454545454545,,1942.5454545454545,-37.7994,144.9965,1542000.0,1,0,0,0,1,0,0,0,0,1,0
55,55,55,3,2017,2.5,3.0,2.0,2.0,147.0,18.0,1942.5454545454545,-37.805,144.9943,1290000.0,1,0,0,0,1,0,0,0,0,1,0
56,56,56,3,2017,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,1290000.0,1,0,0,0,1,0,0,0,0,1,0
57,57,57,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,50.0,2013.0,-37.8055,144.9961,470000.0,0,0,1,0,1,0,0,0,1,0,0
58,58,58,2,2016,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,1180000.0,1,0,0,0,1,0,0,0,1,0,0
59,59,59,3,2016,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,1195000.0,1,0,0,0,0,0,1,0,1,0,0
61,61,61,2,2016,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,1012500.0,1,0,0,0,1,0,0,0,1,0,0
63,63,63,2,2016,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,1030000.0,1,0,0,0,1,0,0,0,0,1,0
66,66,66,3,2016,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,840000.0,0,1,0,1,0,0,0,0,1,0,0
67,67,67,3,2016,13.5,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,730000.0,1,0,0,0,0,0,0,1,1,0,0
68,68,68,3,2017,13.5,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,770000.0,1,0,0,0,0,0,1,0,1,0,0
70,70,70,2,2017,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,603000.0,1,0,0,0,1,0,0,0,1,0,0
71,71,71,3,2017,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,700000.0,0,1,0,0,1,0,0,0,0,1,0
72,72,72,3,2017,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,600000.0,1,0,0,0,1,0,0,0,0,0,1
73,73,73,2,2017,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,500000.0,0,0,1,0,0,0,0,1,1,0,0
79,79,79,3,2016,13.5,2.0,1.0,1.0,620.0,,1983.15625,-37.7173,144.8872,720000.0,1,0,0,0,1,0,0,0,1,0,0
80,80,80,4,2016,13.5,3.0,1.0,2.0,597.0,127.0,1983.15625,-37.7259,144.8792,785000.0,1,0,0,0,1,0,0,0,0,0,1
81,81,81,6,2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,725000.0,1,0,0,0,0,0,1,0,1,0,0
82,82,82,2,2016,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,450000.0,0,1,0,0,1,0,0,0,1,0,0
83,83,83,2,2016,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,515000.0,0,0,1,0,1,0,0,0,1,0,0
85,85,85,2,2016,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,530000.0,0,0,1,0,1,0,0,0,1,0,0
86,86,86,3,2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,895000.0,1,0,0,1,0,0,0,0,0,1,0
88,88,88,3,2016,13.5,3.0,1.0,1.0,1983.15625,105.0,1950.0,-37.7217,144.8783,805000.0,1,0,0,0,1,0,0,0,1,0,0
90,90,90,3,2017,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,752000.0,0,0,1,0,1,0,0,0,1,0,0
94,94,94,2,2016,13.5,2.0,1.0,1.0,192.0,,1983.15625,-37.7177,144.8787,440000.0,0,0,1,0,1,0,0,0,1,0,0
96,96,96,5,2016,13.5,3.0,2.0,2.0,596.0,,1983.15625,-37.7248,144.8699,755000.0,1,0,0,1,0,0,0,0,0,0,1
98,98,98,3,2016,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,700000.0,0,1,0,1,0,0,0,0,0,1,0
100,100,100,3,2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,830000.0,1,0,0,0,1,0,0,0,1,0,0
101,101,101,2,2016,13.5,2.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863,462500.0,0,0,1,0,1,0,0,0,1,0,0
102,102,102,3,2016,13.5,3.0,2.0,2.0,657.0,,1983.15625,-37.7269,144.8742,670000.0,1,0,0,0,0,0,1,0,1,0,0
103,103,103,2,2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,675000.0,1,0,0,0,1,0,0,0,1,0,0
104,104,104,3,2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,1042000.0,1,0,0,0,1,0,0,0,1,0,0
105,105,105,3,2016,13.5,3.0,1.0,1.0,775.0,,1983.15625,-37.7231,144.8835,910000.0,1,0,0,0,1,0,0,0,0,1,0
106,106,106,4,2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,773000.0,1,0,0,0,1,0,0,0,0,1,0
108,108,108,3,2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,810000.0,1,0,0,1,0,0,0,0,1,0,0
109,109,109,3,2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,715000.0,1,0,0,0,1,0,0,0,0,1,0
110,110,110,3,2017,13.5,3.0,1.0,3.0,614.0,,1983.15625,-37.7194,144.8827,790000.0,1,0,0,0,1,0,0,0,1,0,0
112,112,112,3,2016,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,540000.0,0,1,0,0,0,0,1,0,1,0,0
113,113,113,3,2016,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,825000.0,0,1,0,0,0,0,1,0,1,0,0
114,114,114,3,2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,685000.0,1,0,0,0,1,0,0,0,1,0,0
116,116,116,3,2016,13.5,3.0,1.0,1.0,623.0,,1983.15625,-37.7184,144.882,805000.0,1,0,0,0,1,0,0,0,1,0,0
117,117,117,2,2016,13.5,2.0,1.0,1.0,141.0,76.0,1983.15625,-37.7202,144.8797,510000.0,0,0,1,0,1,0,0,0,1,0,0
118,118,118,3,2016,13.5,3.0,2.0,1.0,212.0,,1983.15625,-37.7181,144.8824,612000.0,1,0,0,0,1,0,0,0,1,0,0
119,119,119,3,2016,13.5,3.0,1.0,2.0,612.0,,1983.15625,-37.7169,144.8815,662000.0,1,0,0,0,1,0,0,0,0,1,0
120,120,120,4,2016,13.5,4.0,3.0,2.0,532.0,,1983.15625,-37.7263,144.869,978000.0,1,0,0,0,1,0,0,0,1,0,0
122,122,122,3,2017,13.5,3.0,1.0,1.0,585.0,,1983.15625,-37.72,144.878,720000.0,1,0,0,1,0,0,0,0,1,0,0
128,128,128,4,2016,13.5,4.0,1.0,2.0,509.0,,1983.15625,-37.7261,144.8785,765000.0,1,0,0,0,1,0,0,0,0,0,1
129,129,129,4,2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,900000.0,1,0,0,0,1,0,0,0,0,1,0
133,133,133,2,2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,1275000.0,1,0,0,0,1,0,0,0,1,0,0
134,134,134,2,2016,3.3,2.0,1.0,0.0,159.0,,1910.3709677419354,-37.845,144.9538,1455000.0,1,0,0,0,1,0,0,0,0,1,0
135,135,135,3,2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,2850000.0,1,0,0,1,0,0,0,0,0,1,0
136,136,136,3,2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,1850000.0,1,0,0,0,1,0,0,0,0,1,0
138,138,138,2,2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,1436000.0,1,0,0,0,1,0,0,0,0,1,0
140,140,140,2,2016,3.3,1.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484,1110000.0,1,0,0,0,1,0,0,0,0,1,0
141,141,141,2,2016,3.3,2.0,1.0,1.0,167.0,,1910.3709677419354,-37.8405,144.9521,1550000.0,1,0,0,0,1,0,0,0,0,0,1
142,142,142,4,2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,2300000.0,1,0,0,0,1,0,0,0,0,1,0
144,144,144,3,2016,3.3,3.0,2.0,2.0,718.0,,1910.3709677419354,-37.8443,144.9598,1550000.0,0,1,0,0,0,0,0,1,0,1,0
145,145,145,3,2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,1800000.0,1,0,0,0,0,0,0,1,0,1,0
147,147,147,2,2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,2120000.0,1,0,0,0,1,0,0,0,0,1,0
148,148,148,3,2016,3.3,3.0,1.0,1.0,253.0,,1910.3709677419354,-37.8443,144.9579,1800000.0,1,0,0,0,0,0,0,1,0,1,0
149,149,149,3,2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,1800000.0,1,0,0,0,1,0,0,0,0,1,0
151,151,151,2,2016,3.3,2.0,1.0,0.0,240.0,,1910.3709677419354,-37.8379,144.9539,1810000.0,1,0,0,1,0,0,0,0,0,1,0
152,152,152,3,2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,2615000.0,1,0,0,0,1,0,0,0,0,1,0
153,153,153,5,2016,3.3,5.0,2.0,1.0,237.0,,1910.3709677419354,-37.8436,144.9557,2100000.0,1,0,0,0,1,0,0,0,0,1,0
154,154,154,3,2016,3.3,3.0,1.0,0.0,129.0,,1910.3709677419354,-37.8422,144.949,1300000.0,1,0,0,0,1,0,0,0,1,0,0
155,155,155,3,2016,3.3,3.0,2.0,2.0,1910.3709677419354,85.0,2000.0,-37.8451,144.9511,1370000.0,1,0,0,0,1,0,0,0,0,1,0
156,156,156,2,2016,3.3,2.0,1.0,0.0,288.0,,1910.3709677419354,-37.8407,144.9523,1000000.0,1,0,0,0,1,0,0,0,0,1,0
158,158,158,3,2016,3.3,3.0,2.0,1.0,228.0,,1910.3709677419354,-37.8445,144.9501,2575000.0,1,0,0,0,1,0,0,0,0,1,0
159,159,159,2,2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,1322500.0,1,0,0,0,1,0,0,0,0,1,0
161,161,161,2,2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,1562500.0,1,0,0,0,1,0,0,0,0,1,0
162,162,162,3,2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,2000000.0,1,0,0,0,0,0,0,1,0,1,0
165,165,165,3,2017,3.3,3.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546,1900000.0,1,0,0,0,1,0,0,0,0,1,0
166,166,166,3,2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,3010000.0,1,0,0,0,1,0,0,0,0,1,0
168,168,168,4,2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,2800000.0,1,0,0,0,0,0,0,1,0,1,0
170,170,170,2,2016,3.3,2.0,1.0,1.0,1910.3709677419354,,1910.3709677419354,-37.846,144.9542,647000.0,0,0,1,0,1,0,0,0,0,1,0
172,172,172,3,2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,2100000.0,1,0,0,0,0,0,1,0,0,1,0
176,176,176,3,2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,2000000.0,1,0,0,1,0,0,0,0,0,1,0
177,177,177,1,2017,3.3,1.0,1.0,0.0,1910.3709677419354,34.0,1970.0,-37.8421,144.9517,442500.0,0,0,1,0,1,0,0,0,0,1,0
178,178,178,4,2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,4735000.0,1,0,0,0,1,0,0,0,0,1,0
179,179,179,2,2017,3.3,2.0,1.0,0.0,136.0,,1910.3709677419354,-37.846,144.9517,1340000.0,1,0,0,0,1,0,0,0,0,1,0
180,180,180,3,2017,3.3,3.0,1.0,1.0,202.0,,1910.3709677419354,-37.8429,144.9493,1801000.0,1,0,0,0,1,0,0,0,1,0,0
