,level_0,index,Rooms,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small,Price
0,1,1,2,2016,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,1,0,0,0,1,0,0,0,0,1,0,1200600.0
1,2,2,3,2017,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,1,0,0,0,0,0,1,0,0,1,0,1596850.0000000002
2,4,4,4,2016,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,1,0,0,0,0,0,0,1,1,0,0,1855999.9999999998
3,6,6,3,2016,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,1,0,0,0,1,0,0,0,1,0,0,2176160.0
4,7,7,2,2016,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,1,0,0,0,1,0,0,0,1,0,0,1897759.9999999998
5,9,9,2,2016,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,1,0,0,0,1,0,0,0,0,1,0,1272520.0
6,11,11,3,2016,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,1,0,0,0,0,0,0,1,1,0,0,1566000.0
7,12,12,2,2016,2.5,2.0,2.0,1.0,1942.5454545454545,94.0,2009.0,-37.8078,144.9965,0,0,1,0,1,0,0,0,0,1,0,869999.9999999999
8,15,15,2,2016,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,1,0,0,0,1,0,0,0,1,0,0,1519600.0
9,16,16,3,2016,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,1,0,0,0,1,0,0,0,1,0,0,1392000.0
10,17,17,3,2016,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,1,0,0,0,1,0,0,0,0,0,1,1364740.0
11,19,19,2,2016,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,1,0,0,0,1,0,0,0,0,1,0,1032399.9999999999
12,20,20,4,2017,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,1,0,0,1,0,0,0,0,0,1,0,1449700.0
13,22,22,3,2017,2.5,3.0,2.0,2.0,4290.0,27.0,1942.5454545454545,-37.8078,144.9965,0,0,1,0,1,0,0,0,1,0,0,1188100.0
14,23,23,2,2016,2.5,2.0,1.0,1.0,1942.5454545454545,60.0,1970.0,-37.8015,144.9972,0,0,1,0,1,0,0,0,0,1,0,580000.0
15,24,24,2,2016,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,1,0,0,1,0,0,0,0,0,1,0,1276000.0
16,25,25,2,2016,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,1,0,0,0,1,0,0,0,0,1,0,1525400.0
17,27,27,3,2016,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,1,0,0,1,0,0,0,0,1,0,0,1679100.0
18,28,28,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,50.0,1942.5454545454545,-37.8078,144.9965,0,0,1,0,1,0,0,0,1,0,0,530120.0
19,29,29,2,2016,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,1,0,0,0,1,0,0,0,1,0,0,1316600.0
20,31,31,3,2017,2.5,3.0,2.0,2.0,147.0,18.0,1942.5454545454545,-37.805,144.9943,1,0,0,0,1,0,0,0,0,1,0,1406100.0
21,32,32,3,2017,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,1,0,0,0,1,0,0,0,0,1,0,1406100.0
22,33,33,1,2016,2.5,1.0,1.0,1.0,1942.5454545454545,50.0,2013.0,-37.8055,144.9961,0,0,1,0,1,0,0,0,1,0,0,545200.0
23,34,34,2,2016,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,1,0,0,0,1,0,0,0,1,0,0,1368800.0
24,35,35,3,2016,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,1,0,0,0,0,0,1,0,1,0,0,1386200.0
25,36,36,2,2016,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,1,0,0,0,1,0,0,0,1,0,0,1174500.0
26,37,37,2,2016,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,1,0,0,0,1,0,0,0,0,1,0,1194800.0
27,38,38,3,2016,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,0,1,0,1,0,0,0,0,1,0,0,974399.9999999999
28,39,39,3,2016,13.5,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,1,0,0,0,0,0,0,1,1,0,0,846799.9999999999
29,40,40,3,2017,13.5,3.0,2.0,1.0,1983.15625,145.0,1965.0,-37.7203,144.8755,1,0,0,0,0,0,1,0,1,0,0,839300.0000000001
30,41,41,2,2017,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,1,0,0,0,1,0,0,0,1,0,0,657270.0
31,42,42,3,2017,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,0,1,0,0,1,0,0,0,0,1,0,763000.0
32,43,43,3,2017,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,1,0,0,0,1,0,0,0,0,0,1,654000.0
33,44,44,2,2017,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,0,0,1,0,0,0,0,1,1,0,0,545000.0
34,46,46,4,2016,13.5,3.0,1.0,2.0,597.0,127.0,1983.15625,-37.7259,144.8792,1,0,0,0,1,0,0,0,0,0,1,910599.9999999999
35,47,47,6,2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,1,0,0,0,0,0,1,0,1,0,0,841000.0
36,48,48,2,2016,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,0,1,0,0,1,0,0,0,1,0,0,521999.99999999994
37,49,49,2,2016,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,0,0,1,0,1,0,0,0,1,0,0,597400.0
38,50,50,2,2016,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,0,0,1,0,1,0,0,0,1,0,0,614800.0
39,51,51,3,2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,1,0,0,1,0,0,0,0,0,1,0,1038199.9999999999
40,52,52,3,2016,13.5,3.0,1.0,1.0,1983.15625,105.0,1950.0,-37.7217,144.8783,1,0,0,0,1,0,0,0,1,0,0,933799.9999999999
41,53,53,3,2017,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,0,0,1,0,1,0,0,0,1,0,0,819680.0000000001
42,56,56,3,2016,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,0,1,0,1,0,0,0,0,0,1,0,812000.0
43,57,57,3,2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,1,0,0,0,1,0,0,0,1,0,0,962799.9999999999
44,60,60,2,2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,1,0,0,0,1,0,0,0,1,0,0,783000.0
45,61,61,3,2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,1,0,0,0,1,0,0,0,1,0,0,1208720.0
