,Unnamed: 0,level_0,index,Rooms,Date,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Price,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small
0,1,1,1,2,2016,2.0,1.0,1.0,202.0,,1942.5454545454545,-37.7996,144.9984,1480000.0,1,0,0,0,1,0,0,0,0,1,0
1,2,2,2,2,2016,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,1035000.0,1,0,0,0,1,0,0,0,0,1,0
2,4,4,4,3,2017,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,1465000.0,1,0,0,0,0,0,1,0,0,1,0
3,5,5,5,3,2017,3.0,2.0,1.0,94.0,,1942.5454545454545,-37.7969,144.9969,850000.0,1,0,0,1,0,0,0,0,0,1,0
4,6,6,6,4,2016,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,1600000.0,1,0,0,0,0,0,0,1,1,0,0
5,10,10,10,2,2016,2.0,1.0,0.0,181.0,,1942.5454545454545,-37.8041,144.9953,941000.0,1,0,0,0,1,0,0,0,1,0,0
6,11,11,11,3,2016,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,1876000.0,1,0,0,0,1,0,0,0,1,0,0
7,14,14,14,2,2016,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,1636000.0,1,0,0,0,1,0,0,0,1,0,0
8,17,17,17,1,2016,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8008,144.9973,300000.0,0,0,1,0,1,0,0,0,0,1,0
9,18,18,18,2,2016,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,1097000.0,1,0,0,0,1,0,0,0,0,1,0
10,23,23,23,2,2016,2.0,2.0,1.0,1942.5454545454545,,1942.5454545454545,-37.811,145.0067,700000.0,0,0,1,0,0,0,0,1,1,0,0
11,24,24,24,3,2016,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,1350000.0,1,0,0,0,0,0,0,1,1,0,0
12,25,25,25,2,2016,2.0,2.0,1.0,1942.5454545454545,94.0,2009.0,-37.8078,144.9965,750000.0,0,0,1,0,1,0,0,0,0,1,0
13,28,28,28,2,2016,2.0,1.0,1.0,195.0,,1942.5454545454545,-37.8084,144.9973,1172500.0,1,0,0,0,1,0,0,0,0,1,0
14,29,29,29,1,2016,1.0,1.0,1.0,1942.5454545454545,,1942.5454545454545,-37.8016,144.9988,441000.0,0,0,1,0,0,0,1,0,0,1,0
15,30,30,30,2,2016,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,1310000.0,1,0,0,0,1,0,0,0,1,0,0
16,32,32,32,3,2016,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,1200000.0,1,0,0,0,1,0,0,0,1,0,0
